choices_id;question_id
1;1
2;1
3;1
4;1
5;2
6;2
7;2
8;2
9;2
10;2
11;2
12;2
13;2
14;2
15;2
16;2
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;2
25;2
26;2
27;2
28;2
29;2
30;2
31;2
32;2
33;2
34;2
35;2
36;2
37;2
38;2
39;2
40;2
41;2
42;2
43;2
44;2
45;2
46;2
47;2
48;2
49;2
50;2
51;2
52;2
53;2
54;2
55;2
56;2
57;2
58;2
59;2
60;2
61;2
62;2
63;2
64;2
65;2
66;2
67;2
68;2
69;2
70;2
71;2
72;2
73;2
74;2
75;2
76;2
77;2
78;2
79;2
80;2
81;2
82;2
83;2
84;2
85;2
86;2
87;2
88;2
89;2
90;2
91;2
92;2
93;2
94;2
95;2
96;2
97;2
98;2
99;2
100;2
101;2
102;2
103;2
104;2
105;2
106;2
107;2
108;2
109;2
110;2
111;2
112;2
113;2
114;2
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;2
124;2
125;2
126;2
127;2
128;2
129;2
130;2
131;2
132;2
133;2
134;2
135;2
136;2
137;2
138;2
139;2
140;2
141;2
142;2
143;2
144;2
145;2
146;2
147;2
148;2
149;2
150;2
151;2
152;2
153;2
154;2
155;2
156;2
157;2
158;2
159;2
160;2
161;2
162;2
163;2
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
180;2
181;2
182;2
183;2
184;2
185;2
186;2
187;2
188;2
189;2
190;2
191;2
192;2
193;2
194;2
195;2
196;2
197;2
198;2
199;2
200;2
201;3
202;3
203;3
204;3
205;7
206;7
207;7
208;7
209;7
210;4
211;4
212;5
213;5
214;5
215;5
216;5
217;5
218;5
219;5
220;5
221;6
222;6
223;6
224;6
225;6
226;6
227;6
228;6
205;15
206;15
207;15
208;15
209;15
205;21
206;21
207;21
208;21
209;21
205;28
206;28
207;28
208;28
209;28
205;34
206;34
207;34
208;34
209;34
205;41
206;41
207;41
208;41
209;41
205;48
206;48
207;48
208;48
209;48
205;55
206;55
207;55
208;55
209;55
205;62
206;62
207;62
208;62
209;62
205;70
206;70
207;70
208;70
209;70
205;76
206;76
207;76
208;76
209;76
205;83
206;83
207;83
208;83
209;83
205;89
206;89
207;89
208;89
209;89
205;96
206;96
207;96
208;96
209;96
240;106
241;106
242;106
243;106
244;106
205;125
206;125
207;125
208;125
209;125
205;131
206;131
207;131
208;131
209;131
205;140
206;140
207;140
208;140
209;140
205;149
206;149
207;149
208;149
209;149
245;169
246;169
247;169
248;169
249;169
205;183
206;183
207;183
208;183
209;183
205;189
206;189
207;189
208;189
209;189
205;197
206;197
207;197
208;197
209;197
205;206
206;206
207;206
208;206
209;206
205;212
206;212
207;212
208;212
209;212
250;223
251;223
252;223
253;223
254;223
255;241
256;241
257;241
258;241
259;241
205;259
206;259
207;259
208;259
209;259
205;267
206;267
207;267
208;267
209;267
205;280
206;280
207;280
208;280
209;280
205;294
206;294
207;294
208;294
209;294
234;301
235;301
236;301
237;301
238;301
239;301
229;14
230;14
231;14
232;14
233;14
